,mean_speed,Mean_Time_Per_Step,speed_uncertainty,Speed_Jitter,gpu_type,num_gpu,staged_from
0,12079.3770205,0.00413928631544,3.50604055762,460.812447492,p100,2,$SCRATCH
1,4953.05887383,0.0100947719932,2.45531018629,276.50065248,k80,2,$SCRATCH
2,4907.16165134,0.0101891895056,2.12753268788,202.419389485,k80,4,$LOCAL
3,5774.95940776,0.00865806951523,0.71164889089,78.19793299,k80,4,$SCRATCH
4,5941.45569977,0.00841544606686,1.11460046085,60.8101602792,k80,2,$LOCAL
5,12006.2987566,0.00416448074579,3.26495344826,433.644647429,p100,2,$LOCAL
6,13146.103799,0.00380340827703,2.29098914955,253.803333471,p100,1,$SCRATCH
7,4796.37688236,0.0104245352745,3.75669840649,330.904924414,k80,1,$LOCAL
8,13002.1383743,0.00384552129507,3.45560790745,397.160613315,p100,1,$LOCAL
9,4938.29030348,0.0101249616623,2.72056976459,293.190477744,k80,1,$SCRATCH
